Stage param_flow_pass [46/133]: 37ms; RSS 398 MiB
Stage route_pass [46/133]: 123ms; RSS 398 MiB
Batch 46/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 3672ms; RSS 398 MiB
Stage primary_extraction [47/133]: 1888ms; RSS 338 MiB
Stage schema_pass [47/133]: 63ms; RSS 340 MiB
Stage framework_pass [47/133]: 124ms; RSS 353 MiB
Stage string_literal_pass [47/133]: 102ms; RSS 358 MiB
Stage param_flow_pass [47/133]: 9ms; RSS 358 MiB
Stage route_pass [47/133]: 232ms; RSS 361 MiB
Batch 47/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 2718ms; RSS 361 MiB
Stage primary_extraction [48/133]: 3936ms; RSS 368 MiB
Stage schema_pass [48/133]: 133ms; RSS 384 MiB
Stage framework_pass [48/133]: 659ms; RSS 413 MiB
Stage string_literal_pass [48/133]: 253ms; RSS 413 MiB
Stage param_flow_pass [48/133]: 17ms; RSS 413 MiB
Stage route_pass [48/133]: 387ms; RSS 423 MiB
Batch 48/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 5991ms; RSS 423 MiB
Stage primary_extraction [49/133]: 2990ms; RSS 370 MiB
Stage schema_pass [49/133]: 112ms; RSS 387 MiB
Stage framework_pass [49/133]: 538ms; RSS 412 MiB
Stage string_literal_pass [49/133]: 145ms; RSS 412 MiB
Stage param_flow_pass [49/133]: 13ms; RSS 412 MiB
Stage route_pass [49/133]: 361ms; RSS 429 MiB
Batch 49/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 4818ms; RSS 429 MiB
Stage primary_extraction [50/133]: 2121ms; RSS 373 MiB
Stage schema_pass [50/133]: 60ms; RSS 373 MiB
Stage framework_pass [50/133]: 177ms; RSS 389 MiB
Stage string_literal_pass [50/133]: 142ms; RSS 411 MiB
Stage param_flow_pass [50/133]: 28ms; RSS 409 MiB
Stage route_pass [50/133]: 238ms; RSS 424 MiB
Batch 50/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 3266ms; RSS 424 MiB
Stage primary_extraction [51/133]: 2501ms; RSS 371 MiB
Stage schema_pass [51/133]: 92ms; RSS 375 MiB
Stage framework_pass [51/133]: 239ms; RSS 409 MiB
Stage string_literal_pass [51/133]: 225ms; RSS 423 MiB
Stage param_flow_pass [51/133]: 16ms; RSS 423 MiB
Stage route_pass [51/133]: 113ms; RSS 423 MiB
Batch 51/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 3626ms; RSS 424 MiB
Stage primary_extraction [52/133]: 1267ms; RSS 358 MiB
Stage schema_pass [52/133]: 78ms; RSS 369 MiB
Stage framework_pass [52/133]: 232ms; RSS 394 MiB
Stage string_literal_pass [52/133]: 67ms; RSS 394 MiB
Stage param_flow_pass [52/133]: 6ms; RSS 394 MiB
Stage route_pass [52/133]: 73ms; RSS 394 MiB
Batch 52/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1958ms; RSS 394 MiB
Stage primary_extraction [53/133]: 508ms; RSS 317 MiB
Stage schema_pass [53/133]: 60ms; RSS 319 MiB
Stage framework_pass [53/133]: 97ms; RSS 320 MiB
Stage string_literal_pass [53/133]: 41ms; RSS 321 MiB
Stage param_flow_pass [53/133]: 13ms; RSS 321 MiB
Stage route_pass [53/133]: 68ms; RSS 329 MiB
Batch 53/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 912ms; RSS 329 MiB
Stage primary_extraction [54/133]: 864ms; RSS 357 MiB
Stage schema_pass [54/133]: 47ms; RSS 360 MiB
Stage framework_pass [54/133]: 124ms; RSS 379 MiB
Stage string_literal_pass [54/133]: 97ms; RSS 386 MiB
Stage param_flow_pass [54/133]: 5ms; RSS 387 MiB
Stage route_pass [54/133]: 112ms; RSS 400 MiB
